country_code,language_code,phrase,multiplier
CA,en-CA,"buy bitcoin",0.7
CA,en-CA,"how to buy btc",0.8
CA,en-CA,"bitcoin purchase",0.7
CA,en-CA,"bitcoin investment",0.6
CA,en-CA,"btc portfolio",0.5
CA,en-CA,"crypto invest",0.5
CA,en-CA,"bitcoin bull",0.9
CA,en-CA,"btc moon",1.0
CA,en-CA,"bitcoin rally",0.9
CA,en-CA,"bitcoin ETF",0.8
CA,en-CA,"institutional bitcoin",0.7
CA,en-CA,"bitcoin legal",0.6
CA,en-CA,"bitcoin all time high",1.0
CA,en-CA,"btc ath",1.0
CA,en-CA,"bitcoin new high",0.9
CA,en-CA,"sell bitcoin",-0.5
CA,en-CA,"bitcoin sell",-0.5
CA,en-CA,"dump btc",-0.8
CA,en-CA,"bitcoin crash",-1.0
CA,en-CA,"btc bear",-0.8
CA,en-CA,"bitcoin dead",-1.0
CA,en-CA,"bitcoin ban",-1.0
CA,en-CA,"crypto regulation",-0.7
CA,en-CA,"bitcoin illegal",-1.0
CA,en-CA,"bitcoin hack",-1.0
CA,en-CA,"crypto scam",-0.8
CA,en-CA,"bitcoin stolen",-0.9
CA,en-CA,"bitcoin energy",-0.5
CA,en-CA,"bitcoin bubble",-0.8
CA,en-CA,"bitcoin ponzi",-0.9
CA,en-CA,"bitcoin price",0.0
CA,en-CA,"btc usd",0.0
CA,en-CA,"bitcoin rate",0.0
CA,en-CA,"bitcoin news",0.0
CA,en-CA,"crypto news",0.0
CA,en-CA,"btc today",0.0
CA,en-CA,"bitcoin halving",0.0
CA,en-CA,"btc mining",0.0
CA,en-CA,"bitcoin blockchain",0.0
CA,en-CA,"what is bitcoin",0.0
CA,en-CA,"bitcoin explained",0.0
CA,en-CA,"how bitcoin works",0.0
US,en-US,"buy bitcoin",0.7
US,en-US,"how to buy btc",0.8
US,en-US,"bitcoin purchase",0.7
US,en-US,"bitcoin investment",0.6
US,en-US,"btc portfolio",0.5
US,en-US,"crypto invest",0.5
US,en-US,"bitcoin bull",0.9
US,en-US,"btc moon",1.0
US,en-US,"bitcoin rally",0.9
US,en-US,"bitcoin ETF",0.8
US,en-US,"institutional bitcoin",0.7
US,en-US,"bitcoin legal",0.6
US,en-US,"bitcoin all time high",1.0
US,en-US,"btc ath",1.0
